NO_TRACE                                   | Francis Lieber (1800-1872) [US-SC] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Edward Lloyd (1779-1834) [US-MD] canon=11/0 lead=15/0
NAMESAKES_ONLY (absent for intended)       | Edward Long (1734-1813) [England/Jamaica] canon=13/0 lead=6/0
NAMESAKES_ONLY (absent for intended)       | George Long (1800-1879) [England] canon=12/0 lead=10/0
NO_TRACE                                   | Toussaint Louverture (1743-1803) [Haiti] canon=0/0 lead=0/0
NO_TRACE                                   | George Duncan Ludlow (1734-1808) [Canada] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | David Lynd (1745-1802) [Canada] canon=1/0 lead=1/0
NAMESAKES_ONLY (absent for intended)       | James Madison (1751-1836) [US-VA] canon=10/0 lead=35/0
NAMESAKES_ONLY (absent for intended)       | James Madison Sr. (1723-1801) [US-VA] canon=10/0 lead=35/0
NO_TRACE                                   | Ferdinand Magellan (1480-1521) [Portugal] canon=0/0 lead=0/0
NO_TRACE                                   | Bertrand-Francois Mahe de La Bourdonnais (1699-1753) [France/Mauritius] canon=0/0 lead=0/0
NO_TRACE                                   | William Mahone (1826-1895) [US-VA] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | John Lawrence Manning (1816-1889) [US-SC] canon=5/0 lead=17/0
NAMESAKES_ONLY (absent for intended)       | Francis Marion (1732-1795) [US-SC] canon=2/0 lead=7/0
NO_TRACE                                   | Joseph Marryat (1757-1824) [UK/Caribbean] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | John Marshall (1755-1835) [US-VA] canon=29/0 lead=50/0
NAMESAKES_ONLY (absent for intended)       | George Mason (1725-1792) [US-VA] canon=5/0 lead=11/0
NAMESAKES_ONLY (absent for intended)       | Thomas Massie (1675-1731) [US-VA] canon=0/0 lead=1/0
NAMESAKES_ONLY (absent for intended)       | Thomas Massie (1747-1834) [US-VA] canon=0/0 lead=1/0
NAMESAKES_ONLY (absent for intended)       | William Massie (1718-1751) [US-VA] canon=1/0 lead=1/0
NAMESAKES_ONLY (absent for intended)       | Catharine Flood McCall (1766-1828) [US-VA] canon=1/0 lead=1/0
NO_TRACE                                   | Carrie Winder McGavock (1829-1905) [US-TN] canon=0/0 lead=0/0
NO_TRACE                                   | John McGavock (1815-1893) [US-TN] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | James McGill (1744-1813) [Canada] canon=3/0 lead=6/0
NAMESAKES_ONLY (absent for intended)       | Henry Middleton (1717-1784) [US-SC] canon=4/0 lead=12/0
NAMESAKES_ONLY (absent for intended)       | John Milledge (1757-1818) [US-GA] canon=1/0 lead=6/0
NAMESAKES_ONLY (absent for intended)       | Robert Milligan (1746-1809) [Scotland/Jamaica] canon=2/0 lead=1/0
NO_TRACE                                   | Moctezuma II (1480-1520) [Aztec] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | James Monroe (1758-1831) [US-VA] canon=6/0 lead=23/0
NO_TRACE                                   | Indro Montanelli (1909-2001) [Italy] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Frank A. Montgomery (1830-1903) [US-MS] canon=2/0 lead=1/0
NO_TRACE                                   | Jackson Morton (1794-1874) [US-FL] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | William Moultrie (1730-1805) [US-SC] canon=1/0 lead=1/0
NAMESAKES_ONLY (absent for intended)       | Muhammad (570-632) [Arabia] canon=1/0 lead=0/0
NO_TRACE                                   | Hercules Mulligan (1740-1825) [US-NY] canon=0/0 lead=0/0
NO_TRACE                                   | Mansa Musa (1280-1337) [Mali] canon=0/0 lead=0/0
NO_TRACE                                   | Cosmana Navarra (1600-1687) [Malta] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | John Newton (1725-1807) [England] canon=16/0 lead=21/0
NO_TRACE                                   | Nicias (-470--413) [Greece] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Susannah Ostrehan (?-1809) [Barbados] canon=1/0 lead=0/0
NO_TRACE                                   | Paul Henry Ourry (1719-1783) [UK] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | James Owen (1784-1865) [US-NC] canon=37/0 lead=52/0
NAMESAKES_ONLY (absent for intended)       | John Page (1628-1692) [US-VA] canon=22/0 lead=28/0
NO_TRACE                                   | Suzanne Amomba Paille (1673-1755) [FrenchGuiana] canon=0/0 lead=0/0
NO_TRACE                                   | Charles Nicholas Pallmer (1772-1848) [UK/Jamaica] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | George Palmer (1772-1853) [England/Grenada] canon=5/0 lead=7/0
NAMESAKES_ONLY (absent for intended)       | William Penn (1644-1718) [US-PA/England] canon=24/0 lead=25/0
